anio;provincia;sector;subsector;tipo_de_gas;valor_toneladas_gas;valor_toneladas_co2e
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.00;0.72
;;;;;;
2011;Buenos Aires;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;76881.46;2152680.89
;;;;;;
2011;Catamarca;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;187.08;5238.38
;;;;;;
2011;Cordoba;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;96060.10;2689682.68
;;;;;;
2011;Corrientes;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;12.65;354.30
;;;;;;
2011;Chaco;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;1.13;31.77
;;;;;;
2011;Chubut;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;23.90;669.27
;;;;;;
2011;Entre Ro­os;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;9907.49;277409.76
;;;;;;
2011;Formosa;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;2.02;56.54
;;;;;;
2011;Jujuy;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;16.54;463.24
;;;;;;
2011;La Pampa;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;4274.68;119690.98
;;;;;;
2011;La Rioja;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;0.96;26.87
;;;;;;
2011;Mendoza;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;37.98;1063.37
;;;;;;
2011;Misiones;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;15.72;440.16
;;;;;;
2011;Neuquoen;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;41.26;1155.40
;;;;;;
2011;Ro­o Negro;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;97.68;2735.11
;;;;;;
2011;Salta;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;878.53;24598.71
;;;;;;
2011;San Juan;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;0.55;15.45
;;;;;;
2011;San Luis;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;247.69;6935.37
;;;;;;
2011;Santa Cruz;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;71.90;2013.22
;;;;;;
2011;Santa Fe;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;79798.05;2234345.41
;;;;;;
2011;Santiago del Estero;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;3680.38;103050.73
;;;;;;
2011;Tucuman;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;819.58;22948.13
;;;;;;
2011;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3A. Fermentacion entoerica;CH4;7.36;206.05
;;;;;;
2011;Buenos Aires;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;8618.31;241312.67
;;;;;;
2011;Catamarca;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;21.33;597.10
;;;;;;
2011;Cordoba;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;13571.05;379989.33
;;;;;;
2011;Corrientes;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;1.54;43.20
;;;;;;
2011;Chaco;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;0.16;4.41
;;;;;;
2011;Chubut;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;2.40;67.31
;;;;;;
2011;Entre Ro­os;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;1384.98;38779.42
;;;;;;
2011;Formosa;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;0.25;6.98
;;;;;;
2011;Jujuy;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;1.99;55.63
;;;;;;
2011;La Pampa;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;483.82;13547.03
;;;;;;
2011;La Rioja;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;0.11;2.95
;;;;;;
2011;Mendoza;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;4.53;126.86
;;;;;;
2011;Misiones;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;1.98;55.51
;;;;;;
2011;Neuquoen;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;4.06;113.75
;;;;;;
2011;Ro­o Negro;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;9.55;267.29
;;;;;;
2011;Salta;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;107.85;3019.83
;;;;;;
2011;San Juan;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;0.08;2.16
;;;;;;
2011;San Luis;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;26.63;745.72
;;;;;;
